|0000000007|Active|JaBRAUCPDCLITNXXrADVCSIopfxogeRFkYFvBVlr|Auto & Truck Manufacturers|ZyG|1|Aird|19309 McFarlin North||60612|Little Rock|SC|United States of America|EoxwpIaSiVNkSIbAPRUTUVAnyUQpVyHrLpJUULKOGxxWlAyDfPudALpC ncyZpcUBGLCEizruOCLzBEPhoVUADcFJOUdmJXBcgjCCpKQQFKjquitvKLtxRwQtQwISaS|1905-07-23|1|0|1971-12-30 10:56:10|9999-12-31
|0000000008|Active|AYrIhMoBIgUBkRdxKABPjIIShjxFyaWTAsK|Air Courier|B-|1|Schindele|9592 Carlingford Court||91910|Jersey City|NJ|United States of America|CubhsavcGhxQbtcjOHVewfWPlDftSehpfEaHdXptufiuxQkpsXSswfCIUVhsrUlpFUeJJmHXvwJSJmWDfQHgWXqoYoIZRhlmU ZARuVfVQZATCT rMttK|1885-01-17|1|0|1967-01-12 10:12:52|9999-12-31
|0000000009|Active|zZCyFkqieiPsUGvBJwvhXNW|Containers & Packaging|AA-|0|Kalafut|1427 Addax Lane||V6W 1U2|Berkeley|Nova Scotia|United States of America|kHAfHUvzVZKjUOvZcFghDkcCDsFjH|1965-10-26|0|0|1967-01-12 13:28:15|1968-12-18 00:23:52
|0000000009|Active|zZCyFkqieiPsUGvBJwvhXNW|Motion Pictures|AA-|0|Kalafut|1427 Addax Lane||V6W 1U2|Berkeley|Nova Scotia|United States of America|kHAfHUvzVZKjUOvZcFghDkcCDsFjH|1967-10-01|1|0|1968-12-18 00:23:52|9999-12-31
|0000000010|Active|rjkmNkyRrYnpSUDcOqIviweufHAQzFKBSXsYPAcKkbMbBVsEUWMNMRKJZK|Tires|BBB+|0|Nelson|16547 Danvers Rue||94489|Palmdale|AL|United States of America|DSGKjAatPllQoVYFdO sxtAuqGWHxWCZjjFtsRjzLaZOAV||0|0|1967-01-14 14:45:57|1967-06-30 08:59:26
|0000000010|Inactive|rjkmNkyRrYnpSUDcOqIviweufHAQzFKBSXsYPAcKkbMbBVsEUWMNMRKJZK|Tires|BBB+|0|Nelson|16547 Danvers Rue||94489|Palmdale|AL|United States of America|DSGKjAatPllQoVYFdO sxtAuqGWHxWCZjjFtsRjzLaZOAV||1|0|1967-06-30 08:59:26|9999-12-31
|0000000011|Active|gDqcCBxupXLOeBnjyoDuJKKpXXazMTBejzLaoxVkzpfVHbeQYNnEL|Retail (Apparel)|AA+|0|Mckerchie|22376 Burton Upper||10211|Lowell|New Brunswick|Canada|jruKsEtvzWUoVEbZQDmUboPYXQIFGSVdnRCBrcRACGbiGZRINHI IBLfMvShSpFJouITJcuQGbSmKLdaxfqPVWaIQViRHSMbFJoJGVPpVqZTJdqjZOIpQvcuCo|1957-11-11|0|0|1967-01-15 14:41:05|1977-06-26 05:57:44
|0000000011|Inactive|gDqcCBxupXLOeBnjyoDuJKKpXXazMTBejzLaoxVkzpfVHbeQYNnEL|Retail (Apparel)|AA+|0|Mckerchie|22376 Burton Upper||10211|Lowell|New Brunswick|Canada|jruKsEtvzWUoVEbZQDmUboPYXQIFGSVdnRCBrcRACGbiGZRINHI IBLfMvShSpFJouITJcuQGbSmKLdaxfqPVWaIQViRHSMbFJoJGVPpVqZTJdqjZOIpQvcuCo|1967-07-29|1|0|1977-06-26 05:57:44|9999-12-31
|0000000012|Active|EOMpasJigJVvYQGKVcDPddEniaOUaTojpCAmYQrUeZJEGo|Water Transportation|BBB|0|Proud|11167 Wolfe Way||B1C 1X4|Memphis|CO|United States of America|LCJEKmvsuZzCLbvDuxiTEIDb|1897-09-09|1|0|1967-01-17 01:12:57|9999-12-31
|0000000013|Active|vnbESGDLPDBDVwsKNSXPqRYLGXjuxVJrQDsEcEVAYIyXWMFThaGbMIZNd|Motion Pictures|BB|1|Modha|14719 North Rue||10133|Montgomery|IA|United States of America|OhFmCmqqcTnRKODFDpCttrIvGNSBdCJKxkmDNLeTBrCIHsQfFPeTvTKWPCJPFpJLGlSvHNJRTYkAVmTwBvGcCwGQHrRMgQotGZIYGmfRADEdIQKc|1965-12-04|0|0|1967-01-17 17:59:36|1991-09-30 11:49:39
|0000000013|Active|vnbESGDLPDBDVwsKNSXPqRYLGXjuxVJrQDsEcEVAYIyXWMFThaGbMIZNd|Non-Metallic Mining|BB|1|Modha|14719 North Rue||10133|Montgomery|IA|United States of America|OhFmCmqqcTnRKODFDpCttrIvGNSBdCJKxkmDNLeTBrCIHsQfFPeTvTKWPCJPFpJLGlSvHNJRTYkAVmTwBvGcCwGQHrRMgQotGZIYGmfRADEdIQKc|1990-08-07|1|0|1991-09-30 11:49:39|9999-12-31
|0000000014|Active|UxwoFfdmLfKmuJCZStrMNOScJQzWthcXUUiyvsPHTsRlAJPOiKyvchxt|Retail (Drugs)|B+|1|Mantini|24277 Pico Upper||35823|Anchorage|TX|United States of America|iugHxskDEQORGLXHTHBgyWEWIrpgIQXkYiSNiouZINKVezIoRIfStLvfcrA ekjifGHetXpnnLSEmMuvNxtkxtLVADBTCDfJlBBuRRyrXtnzcJYpVeqf DFQETDDEPg|1937-04-04|0|0|1967-01-19 23:42:37|1969-06-15 14:28:31
|0000000014|Inactive|UxwoFfdmLfKmuJCZStrMNOScJQzWthcXUUiyvsPHTsRlAJPOiKyvchxt|Retail (Drugs)|B+|1|Mantini|24277 Pico Upper||35823|Anchorage|TX|United States of America|iugHxskDEQORGLXHTHBgyWEWIrpgIQXkYiSNiouZINKVezIoRIfStLvfcrA ekjifGHetXpnnLSEmMuvNxtkxtLVADBTCDfJlBBuRRyrXtnzcJYpVeqf DFQETDDEPg|1939-01-25|1|0|1969-06-15 14:28:31|9999-12-31
|0000000015|Active|YGODXTYUYQHKSUzVdmTrHaaZEgiuZLXAwzvjFZMnWXdUSECjfiOJYU|Regional Banks|B|1|Launius|15176 Purdue East||36638|Jersey City|WA|United States of America|aqaCEbWGFxMDRkXNACaxqZjSu cERxcKLZEHBCVNyJIqHHAlGMGVQAKaiUHnCSMRFPwlGHRuZkZJscQlQPzIDWzACODYjsUtIIrSyXQpJjLRZyhbTPwyjmJXfCnQqEpwzXQ|1871-03-22|0|0|1967-01-21 15:20:00|1967-06-08 21:05:11
|0000000015|Active|YGODXTYUYQHKSUzVdmTrHaaZEgiuZLXAwzvjFZMnWXdUSECjfiOJYU|Software & Programming|B|1|Launius|15176 Purdue East||36638|Jersey City|WA|United States of America|aqaCEbWGFxMDRkXNACaxqZjSu cERxcKLZEHBCVNyJIqHHAlGMGVQAKaiUHnCSMRFPwlGHRuZkZJscQlQPzIDWzACODYjsUtIIrSyXQpJjLRZyhbTPwyjmJXfCnQqEpwzXQ|1871-04-17|0|0|1967-06-08 21:05:11|1989-03-29 04:45:40
|0000000015|Inactive|YGODXTYUYQHKSUzVdmTrHaaZEgiuZLXAwzvjFZMnWXdUSECjfiOJYU|Software & Programming|B|1|Launius|15176 Purdue East||36638|Jersey City|WA|United States of America|aqaCEbWGFxMDRkXNACaxqZjSu cERxcKLZEHBCVNyJIqHHAlGMGVQAKaiUHnCSMRFPwlGHRuZkZJscQlQPzIDWzACODYjsUtIIrSyXQpJjLRZyhbTPwyjmJXfCnQqEpwzXQ|1875-04-12|1|0|1989-03-29 04:45:40|9999-12-31
|0000000016|Active|BlzKUNpcdbxQGHwUAaQlIXGgyZmHnyRREOKBwpXvXwwWEOWiNJVMXWALS|Chemical Manufacturing|CCC|1|Galizia|15927 Flagler Way||73140|Tucson|WA|United States of America|FOwdnLOyVOIyIMXSCmUmdEPFWnqJvQQnekukvmPxkRTh|1868-01-06|0|0|1967-01-21 21:14:20|1967-12-26 06:08:13
|0000000016|Active|BlzKUNpcdbxQGHwUAaQlIXGgyZmHnyRREOKBwpXvXwwWEOWiNJVMXWALS|Constr. & Agric. Machinery|CCC|1|Galizia|15927 Flagler Way||73140|Tucson|WA|United States of America|FOwdnLOyVOIyIMXSCmUmdEPFWnqJvQQnekukvmPxkRTh|1868-02-27|1|0|1967-12-26 06:08:13|9999-12-31
|0000000017|Active|JOlePeOMqNiWFtIikbYCtGoucRYkTNggTpiDSTEocDbaMdhzl|Motion Pictures|DIq|1|Mantini|8357 Buckeye West||75237|New Haven|IN|United States of America|wuHpeHmnuetuEgRwMGICaiCmDMCSAkBhfHSehUwwJEhSgOdCZRGQFUcEBlQktlJISrPScVkJFGPrUPjIASwbISIG SMCgQwhmEQgBXBDsjisQPSVgTLRXPJluhDTWdkKEDrOqymIpLEeDzrsPn|1932-08-06|0|0|1967-01-23 02:01:11|1971-03-31 06:09:45
|0000000017|Inactive|JOlePeOMqNiWFtIikbYCtGoucRYkTNggTpiDSTEocDbaMdhzl|Motion Pictures|DIq|1|Mantini|8357 Buckeye West||75237|New Haven|IN|United States of America|wuHpeHmnuetuEgRwMGICaiCmDMCSAkBhfHSehUwwJEhSgOdCZRGQFUcEBlQktlJISrPScVkJFGPrUPjIASwbISIG SMCgQwhmEQgBXBDsjisQPSVgTLRXPJluhDTWdkKEDrOqymIpLEeDzrsPn|1935-07-30|1|0|1971-03-31 06:09:45|9999-12-31
|0000000018|Active|iAJNmDakgxlQcGOiloFqkXDmRxJezUSKSBPCvqFfSbAlV|Constr. - Supplies & Fixtures|BBB|0|Beverley|16775 Pike East||50309|Hull|Ontario|Canada|FWnrIwwvUgVGwQCooZxqRBqAqhqUpvHuNJwBjwsImTuBCMUdAqMIVpoChkLKEzLVOBMjBxPeEYAjKYQpBOGVTIhOZxtUYX jIpZTMXYTmwbGVIdRuFjKzJwPZV|1867-06-20|0|0|1967-01-24 23:11:51|2003-12-30 11:22:32
|0000000018|Inactive|iAJNmDakgxlQcGOiloFqkXDmRxJezUSKSBPCvqFfSbAlV|Constr. - Supplies & Fixtures|BBB|0|Beverley|16775 Pike East||50309|Hull|Ontario|Canada|FWnrIwwvUgVGwQCooZxqRBqAqhqUpvHuNJwBjwsImTuBCMUdAqMIVpoChkLKEzLVOBMjBxPeEYAjKYQpBOGVTIhOZxtUYX jIpZTMXYTmwbGVIdRuFjKzJwPZV|1873-01-10|1|0|2003-12-30 11:22:32|9999-12-31
|0000000019|Active|lSBXSwESnnboFFeSvHxFjlfxrwIZABfGMjiWUbhTmnRHnPFOTMlMAQnZJA|Major Drugs|CCC|1|Thursby|2682 Lumber Park||80225|Santa Clara|DC|Canada|BAJD NFwWAUg|1930-05-02|0|0|1967-01-25 02:23:25|1971-03-24 19:05:28
|0000000019|Active|lSBXSwESnnboFFeSvHxFjlfxrwIZABfGMjiWUbhTmnRHnPFOTMlMAQnZJA|Retail (Apparel)|CCC|1|Thursby|2682 Lumber Park||80225|Santa Clara|DC|Canada|BAJD NFwWAUg|1933-03-18|1|0|1971-03-24 19:05:28|9999-12-31
|0000000020|Active|XdCwDlGsXFstGqdCIcNOKJfTOQPnoEeELXbNmwOl|Computer Services|AA-|0|Dengel|2579 Creekbend Way|Apt. 177|90053|Topeka|DE|United States of America|PbEXTLxQMjUFVigzlINmXkOMkKRDqdQLlcGKPE|1917-11-03|1|0|1967-01-26 03:41:31|9999-12-31
|0000000021|Active|jmClCXBcZwINVyetRxHbWYRbsYBIFkuIGtecXWIN|Insurance (Life)|CCC+|1|Cascio|19932 Clower Street||43623|Macon|IA|United States of America|YCaFAYUiNzTMf brahQDhkmJBBDYZZNVEsNKhhXDlIEZbQ UrvozWyERX CAFjLNLgdPiyDcXEVxCIRF|1860-10-08|1|0|1967-01-27 06:09:08|9999-12-31
|0000000022|Active|nFkXCFIQQcAPOHRuYtieKkGSZpAdCmvxWPuheWUSLiFkN|Furniture & Fixtures|B-|1|Degrace|4371 Ashford Hollow Lane||44312|Sandy|MD|United States of America|JTQvSVCJVqUQFgkUESYHOwYeRSHHrqPPjZrqwUvnJrKaMcCLXLETVpTaGVsNVxbWanUeeTXvhZBSmhKShJsOPpGXUTFQKgePpPUL GzkCIzDHTLcesmM|1957-06-30|0|0|1967-01-28 09:30:30|1970-06-27 10:40:19
|0000000022|Active|nFkXCFIQQcAPOHRuYtieKkGSZpAdCmvxWPuheWUSLiFkN|Money Center Banks|B-|1|Degrace|4371 Ashford Hollow Lane||44312|Sandy|MD|United States of America|JTQvSVCJVqUQFgkUESYHOwYeRSHHrqPPjZrqwUvnJrKaMcCLXLETVpTaGVsNVxbWanUeeTXvhZBSmhKShJsOPpGXUTFQKgePpPUL GzkCIzDHTLcesmM|1960-08-27|1|0|1970-06-27 10:40:19|9999-12-31
|0000000023|Active|zScyndwxOcLUXIwtrdKPFPDeQiYudN|S&Ls/Savings Banks|D|1|Kosky|11976 Halms Upper|Suite 225|92177|Fort Collins|MS|United States of America|mqCvWtLtyfDNHPrgOJLPWDAnj yHTINEBwULFDVBmm|1859-08-10|1|0|1967-01-29 08:49:59|9999-12-31
|0000000024|Active|rqMbvwSCBGYCGMEPKQeELcTKYUzuwRMWTqYPIirIgRbOCStxEXLeiAEZJCb|Insurance (Miscellaneous)|C|1|Stuckey|6963 Emmonds Drive||72203|Cedar Rapids|VA|Canada|BEDwOgbUNsOzCnpFsfGMcUBkXpJVqtbHLWnYDZdBwILkcSzRTK tONaTJKQ|1947-12-08|1|0|1967-01-31 06:07:25|9999-12-31
|0000000025|Active|yRflLhHvroMJBNHcMIDiQuHspAHUTFVE|Office Supplies|BBB|0|Roston|8457 Fennel Rue||95202|Boston|AR|Canada|RSFPXlKBkCFvSOOaRBIQOEEPT mIRuTOQCSBshaPJEFfCnnSyodGFBGFeSkgrugFDMycC AwouYYfgOPABQQEURRoQSlExPEkKjTuTsPE oQFJVyzYFX|1908-07-31|1|0|1967-02-01 12:07:10|9999-12-31
|0000000026|Active|yzVtIWYoRQKKPNbDwXqdBMdFXWIZfiTteG|S&Ls/Savings Banks|A|0|Dibacco|292 Sakowitz Road||94434|McAllen|NV|United States of America|OGLzZfBtCPCMWIhYcrKDHfrXARneOJkNSeRyOfFsBUeByaNS SovvQwYOsaAtoVYBOYhCcpEeivSCWWnXYHwPOwLBJ SIIIGIMeVeTzkSPxRy|1947-01-26|0|0|1967-02-03 08:28:50|1981-03-29 02:40:31
|0000000026|Active|yzVtIWYoRQKKPNbDwXqdBMdFXWIZfiTteG|Personal & Household Products|A|0|Dibacco|292 Sakowitz Road||94434|McAllen|NV|United States of America|OGLzZfBtCPCMWIhYcrKDHfrXARneOJkNSeRyOfFsBUeByaNS SovvQwYOsaAtoVYBOYhCcpEeivSCWWnXYHwPOwLBJ SIIIGIMeVeTzkSPxRy|1958-11-25|1|0|1981-03-29 02:40:31|9999-12-31
|0000000027|Active|VNUMGRlTCSQKEfjLfhaUANwnlPAHDkoFxyHfydObCUUeDgBa|Insurance (Life)|FrD|1|Diel|2336 Shelter Rue||37405|Austin|British Columbia|United States of America|RpMKizqHECrKZatHKIARjWHKvOBGfCQStJIJWdkFovmpjAmEKEFFSKlWmvmcTZzzifrbZwrSxR ZhzEy eRFDgI REPTvIEEpNkkfnUQGDxJJE OopbOKnEONkdlzVWQWNLl|1886-08-14|0|0|1967-02-05 04:53:13|1967-12-10 11:28:10
|0000000027|Inactive|VNUMGRlTCSQKEfjLfhaUANwnlPAHDkoFxyHfydObCUUeDgBa|Insurance (Life)|FrD|1|Diel|2336 Shelter Rue||37405|Austin|British Columbia|United States of America|RpMKizqHECrKZatHKIARjWHKvOBGfCQStJIJWdkFovmpjAmEKEFFSKlWmvmcTZzzifrbZwrSxR ZhzEy eRFDgI REPTvIEEpNkkfnUQGDxJJE OopbOKnEONkdlzVWQWNLl|1886-11-19|1|0|1967-12-10 11:28:10|9999-12-31
|0000000028|Active|IiHkvFAHjNrDbHaXULOVQWMsfQI|Scientific & Technical Instr.|A+|0|Keleman|21605 Gaston Boulevard||T5A 1J2|Chicago|WY|Canada|DvTIVKldUTWFOxmakkTaaMlMTGySiRHkTddOHUTQRyUYiKIOEL mnPZITGtwKDJwSimxjfdfPbeMEvfxIJGUBurEeAbSiZq|1900-06-29|0|0|1967-02-06 04:07:29|1968-03-17 02:44:45
|0000000028|Inactive|IiHkvFAHjNrDbHaXULOVQWMsfQI|Scientific & Technical Instr.|A+|0|Keleman|21605 Gaston Boulevard||T5A 1J2|Chicago|WY|Canada|DvTIVKldUTWFOxmakkTaaMlMTGySiRHkTddOHUTQRyUYiKIOEL mnPZITGtwKDJwSimxjfdfPbeMEvfxIJGUBurEeAbSiZq|1900-12-22|1|0|1968-03-17 02:44:45|9999-12-31
|0000000029|Active|LRYKYZXBcxmTSSowQAFUfTJRSoIvPgvimQgPedHDROTgzAImiQMWqxVFPKu|Photography|D|1|Hynes|22649 Weyland Rue|Apt. 821|06127|Miami|NJ|United States of America|AsaZbCvkkWJBSnTlBFkywlLEWXPzIKNOKOTIIkZmpcIBN IJBVcPmEzxpbgdSABhDIfHyoLdncOkNQBpINXKRRRCRbn yPJENfTNzriDDVMmSLU|1949-01-30|1|0|1967-02-06 07:15:42|9999-12-31
|0000000030|Active|GQgODZYcTEajaEMYDrWGoMdiJOENBaMGcnwYwuNTRPoOXXVjWD|Biotechnology & Drugs|CCC-|1|Falvo|5391 Clay West||21219|Buffalo|Alberta|Canada|iSfTwyiKDDK|1876-04-30|0|0|1967-02-06 13:23:13|1999-06-29 10:58:32
|0000000030|Inactive|GQgODZYcTEajaEMYDrWGoMdiJOENBaMGcnwYwuNTRPoOXXVjWD|Biotechnology & Drugs|CCC-|1|Falvo|5391 Clay West||21219|Buffalo|Alberta|Canada|iSfTwyiKDDK|1883-09-04|1|0|1999-06-29 10:58:32|9999-12-31
|0000000031|Active|BCRRYMzpoAimKRITzLWLsoomeKjnZvguJDE|Waste Management Services|BB|1|Vanhuss|7879 Park Hill Court||46214|Escondido|HI|United States of America|rcDDAUbrUsAKUUbeRSTzFoGUKlRtRFfOpVJSDYSWXMPBF YrGgzkKSbqoGIamtAdC wEIVCTJFqESyDeIVmnqetcXRwaQvFTPyLrtoUgFWugcIasZdNFSTcLFOqiwsNKMQYhOwKafORHgSfnp|1917-07-21|1|0|1967-02-07 18:21:24|9999-12-31
|0000000032|Active|WCJJAitQbHnCKfmKEVEELEBjYtHsVGTBpOMMCLXEadMPRGRTA|Constr. - Supplies & Fixtures|BBB+|0|Clemence|2061 Congress Park||T6A 1D4|Vallejo|WY|United States of America|gLGjJgEPgDmYKXcKORXoGvCTarEskGPFALWprHYzqirEESSMuhewvIAUWfbIQaNOBNtozHRaACQpiKHNwDWFIJuDfHZtqrERSNipMnVqYrwWsCRpJFLhpCKOdAotUQU|1903-03-08|1|0|1967-02-09 17:54:32|9999-12-31
|0000000033|Active|qNBRLBcNHRMNCOGgoLutSmLjluU|Furniture & Fixtures|CCC+|1|Whisenhunt|16119 Penmar North||95166|San Bernardino|DC|United States of America|bIofJd IqcSvNYbrRZFMAaZZzHwOOlVyRRXDlCDDFrPxsdAmYpRqLJINYedlVUCMjanAtzqAW|1889-09-07|1|0|1967-02-10 07:32:27|9999-12-31
|0000000034|Active|yRPdOOYwDRIgGtBTaFzyuaZQ|Tobacco|BB-|1|Bradac|22074 Dexter Upper||90397|Memphis|PA|United States of America|LDGrhRgCvZuKEPnwVUEocB ySKGtRizEv puk HplYNgIJiUoJvG pXEvDirqyIrfwxIvGEliI|1928-08-15|1|0|1967-02-12 03:35:41|9999-12-31
|0000000035|Active|sOinkIiTdaWTBlAuXFDL|Retail (Grocery)|C|1|Magda|10526 Linwood Lane||37405|McAllen|MA|United States of America|hUYDrENWnTtzNHUxpTpUDhCRsPxfuAfQGFwNPDYLDAGUMTNozDDkkAsFYiPmHrkgVFFZBMFIn PqPJoXdugkplVSMUzJsPIQFS|1871-10-23|1|0|1967-02-12 15:30:03|9999-12-31
|0000000036|Active|TzOOKJSXlzetRDAZNOaBGRiAoYkrPjDLzvR|Broadcasting & Cable TV|B-|1|Dolores|15712 Trend South||33188|Hollywood|VA|Canada|vmZqlleSVZRfCJxFDbEuBVKINfxOAnNEPqesUGCFVeK|1936-07-19|0|0|1967-02-13 16:31:39|1972-09-22 14:35:29
|0000000036|Inactive|TzOOKJSXlzetRDAZNOaBGRiAoYkrPjDLzvR|Broadcasting & Cable TV|B-|1|Dolores|15712 Trend South||33188|Hollywood|VA|Canada|vmZqlleSVZRfCJxFDbEuBVKINfxOAnNEPqesUGCFVeK|1940-09-23|1|0|1972-09-22 14:35:29|9999-12-31
|0000000037|Active|PGDBgEZqRneMoLzzQWIWKPqUm|Broadcasting & Cable TV|A+|0|Tarzia|16764 McAfee Park||V6M 1S7|Little Rock|Quebec|United States of America|hPWPwQ LKqAhPtqLLQbsUFAoPXjsrVEc DNKJgSsOSQIlbLpvHAnJnDqxspZMSHcEOnVXzSzINjdzCHeWcIPAMUBUFfFQTlYT smxLeihJPFzuuqvqKWiygxzeOOHGPBFKCRvadNhcMvD|1930-07-28|1|0|1967-02-15 03:44:19|9999-12-31
|0000000038|Active|PozAgYtmghzwqacMhOFSFF|Money Center Banks|BB-|1|Eckland|12279 Trafalgar Crescent||V6G 1T4|Fort Lauderdale|Manitoba|Canada|JmyvpFSSRQHyVCJUUJZbmBJJgcuGLUCs rpydXBTWFZZMYzDDs gNweAEaMStDMJLKALaiagfDMppCDJEmUbLuzxdwFjILUQEO PbdVhpQyTcQUUtTWuPIwWmPIoIQMPCNXTPCe|1884-12-14|0|0|1967-02-15 10:35:43|1979-03-28 06:00:11
|0000000038|Active|PozAgYtmghzwqacMhOFSFF|Auto & Truck Parts|BB-|1|Eckland|12279 Trafalgar Crescent||V6G 1T4|Fort Lauderdale|Manitoba|Canada|JmyvpFSSRQHyVCJUUJZbmBJJgcuGLUCs rpydXBTWFZZMYzDDs gNweAEaMStDMJLKALaiagfDMppCDJEmUbLuzxdwFjILUQEO PbdVhpQyTcQUUtTWuPIwWmPIoIQMPCNXTPCe|1888-08-06|1|0|1979-03-28 06:00:11|9999-12-31
|0000000039|Active|zjoKtxCKSTNWLpRzJEjyVWiVEuzmYUTLdbyRHLSIgDUbYquZsCvOKJvFaWMu|Airline|AA+|0|Cillis|21818 Palm West||37234|Chula Vista|CO|United States of America|JAJBEnUsBtOADNGk uKsOVDtVBHGTeYcpOkcCLHunJGZLHgDArvyvUNaEPGkK|1872-11-12|1|0|1967-02-15 20:41:10|9999-12-31
|0000000040|Active|SAFZEJLLiMLuOrGrCmR|Office Supplies|BBB-|0|Days|10795 Balmoral South||V6D 1Q9|Wilmington|AZ|United States of America|zmmRRtiYCa|1860-04-11|1|0|1967-02-17 05:00:58|9999-12-31
|0000000041|Active|UXKSWgGTVwuzWNnUV|Furniture & Fixtures|B|1|Slater|18165 Pecos Lower||93782|Berkeley|New Brunswick|United States of America|QNB aGDulKWLkuSrNpLedMPumQFZkHOV lmXdHxsBTgMFGNqB Facpm GjoOiLYWKOFPrMPfgJsMADvavf|1898-12-01|1|0|1967-02-17 10:42:35|9999-12-31
